id,tier,platform,n_rows,n_active,pi1,n_used_for_ils,ils,ils_ci_lower,ils_ci_upper,delta_r2_f_to_p,avg_delta_r2_p_to_f,resolved_channels,note
us_pres_election_2024,high,polymarket,2329,2328,0.9995706311721769,470,0.17687521955075097,0.01644932841018372,0.78743512940936,0.015196011806342002,0.0026877979245425454,"['SPY_logret', 'XLE_logret', 'XLF_logret', 'XLV_logret', 'IWM_logret', 'XLC_logret']",
us_strikes_iran,high,polymarket,721,711,0.986130374479889,720,0.007062851973061142,0.0026557581785520315,0.11461579467572122,0.04870985538161188,0.00034403049818954035,"['Gold_logret', 'VIX_logchg', 'SPY_logret', 'TLT_logret']",
trump_fed_chair,high,polymarket,5041,4959,0.9837333862328903,996,1.2161846627750033,0.09093326459025892,7.693206691192953,0.0013499254368694036,0.0016417586122104144,"['TLT_logret', 'IEF_logret', 'SPY_logret', 'UUP_logret']",
tiktok_ban,high,polymarket,3024,3023,0.9996693121693122,1218,0.3305207678387857,0.028557624153231608,1.9631519786660965,0.004805076002600939,0.0015881774099033852,"['META_logret', 'GOOGL_logret', 'AAPL_logret', 'SPY_logret']",
germany_parl_2025,high,polymarket,1674,1674,1.0,208,0.04182633193185774,0.010378214400089826,0.8205054894508546,0.03465900177300574,0.0014496589125845838,"['EWG_logret', 'FXE_logret', 'IEF_logret', 'SPY_logret']",
canada_pm_2025,high,polymarket,2900,2900,1.0,248,1.6857131577763287,0.03339516417418595,18.156495861015312,0.005350086932357057,0.009018711937121485,"['FXC_logret', 'USO_logret', 'SPY_logret']",
khamenei_out,high,polymarket,1107,1102,0.995483288166215,409,0.01421923316525802,0.0028401376431241953,0.5074624894842351,0.031050760150315604,0.00044151799853583973,"['USO_logret', 'GLD_logret', 'UVXY_logchg', 'SPY_logret']",
gov_shutdown_2026,high,polymarket,1889,1883,0.9968237162519852,704,0.02876854275964764,0.008258457011045614,0.45779131102834597,0.014041200638281182,0.0004039448809591839,"['SPY_logret', 'TLT_logret', 'UVXY_logchg', 'IWM_logret']",
sk_president_2025,mid,polymarket,1440,1440,1.0,337,0.1133171211350453,0.017830183977947608,2.934686553524996,0.0033673791078764337,0.0003815817062748546,"['EWY_logret', 'SPY_logret', 'GLD_logret']",
poland_pres_2025,mid,polymarket,4396,4396,1.0,644,1.0584467671614206,0.057406431373212476,13.733658081978477,0.0006105914567507975,0.000646278553454264,"['FXE_logret', 'SPY_logret', 'IEF_logret']",
speaker_house,mid,polymarket,1247,1247,1.0,484,0.14398723611997552,0.015457087592297528,6.571577763824465,0.008504380379692034,0.0012245222257848039,"['SPY_logret', 'TLT_logret', 'IWM_logret']",
portugal_pres_2026,mid,polymarket,3896,3875,0.9946098562628337,659,0.20417546426187666,0.020756658811076942,1.5125667601513115,0.007628701490741574,0.0015575936685874314,"['FXE_logret', 'SPY_logret', 'IEF_logret']",
kxfed,low,kalshi,8246,1423,0.17256851806936696,1996,0.023261588489229434,0.01278493124662144,0.5056967360634854,0.0064394084193771794,0.0001497908687656313,"['TLT_logret', 'd_effr', 'd_sofr', 'SPY_logret', 'IEF_logret']",
kxcpi,low,kalshi,2839,232,0.08171891511095457,322,0.6415791621492115,0.062231524576781314,3.038598008635804,0.001750935320077196,0.0011233636156325888,"['TLT_logret', 'd_t10yie', 'SPY_logret', 'DXY_logret']",
polyfed_jan_2026,low,polymarket,2111,2106,0.9976314542870678,819,1.6945442670925037,0.04471629288520836,39.93150505606599,0.0009858317791646698,0.0016705355897010943,"['TLT_logret', 'SPY_logret']",
polymarket_btc_2025,low,polymarket,8768,8761,0.9992016423357665,8758,2.6658550880716065,0.0015002968251736123,284.56308656359863,2.786804149779165e-05,7.429216022147855e-05,['BTC_logret'],
